tax_year,geo,lower,rate,index
2020,NS,0.0,0.0879,0.0
2020,NS,29590.0,0.1495,0.0
2020,NS,59180.0,0.1667,0.0
2020,NS,93000.0,0.175,0.0
2020,NS,150000.0,0.21,0.0
2021,NS,0.0,0.0879,0.0
2021,NS,29590.0,0.1495,0.0
2021,NS,59180.0,0.1667,0.0
2021,NS,93000.0,0.175,0.0
2021,NS,150000.0,0.21,0.0
2022,NS,0.0,0.0879,0.0
2022,NS,29590.0,0.1495,0.0
2022,NS,59180.0,0.1667,0.0
2022,NS,93000.0,0.175,0.0
2022,NS,150000.0,0.21,0.0
2023,NS,0.0,0.0879,0.0
2023,NS,29590.0,0.1495,0.0
2023,NS,59180.0,0.1667,0.0
2023,NS,93000.0,0.175,0.0
2023,NS,150000.0,0.21,0.0
2024,NS,0.0,0.0879,0.0
2024,NS,29590.0,0.1495,0.0
2024,NS,59180.0,0.1667,0.0
2024,NS,93000.0,0.175,0.0
2024,NS,150000.0,0.21,0.0
2025,NS,0.0,0.0879,1.0
2025,NS,30507.0,0.1495,1.0
2025,NS,61015.0,0.1667,1.0
2025,NS,95883.0,0.175,1.0
2025,NS,154650.0,0.21,1.0
2026,NS,0.0,0.0879,1.0
2026,NS,30995.0,0.1495,1.0
2026,NS,61991.0,0.1667,1.0
2026,NS,97417.0,0.175,1.0
2026,NS,157124.0,0.21,1.0
2027,NS,0.0,0.0879,0.0
2027,NS,31753.0,0.1495,1.0
2027,NS,63507.0,0.1667,1.0
2027,NS,99800.0,0.175,1.0
2027,NS,160967.0,0.21,1.0
2028,NS,0.0,0.0879,0.0
2028,NS,32592.0,0.1495,1.0
2028,NS,65185.0,0.1667,1.0
2028,NS,102437.0,0.175,1.0
2028,NS,165220.0,0.21,1.0
2029,NS,0.0,0.0879,0.0
2029,NS,33481.0,0.1495,1.0
2029,NS,66964.0,0.1667,1.0
2029,NS,105232.0,0.175,1.0
2029,NS,169728.0,0.21,1.0
2030,NS,0.0,0.0879,0.0
2030,NS,34408.0,0.1495,1.0
2030,NS,68817.0,0.1667,1.0
2030,NS,108144.0,0.175,1.0
2030,NS,174425.0,0.21,1.0
2014,ON,0.0,0.0505,1.0
2014,ON,40120.0,0.0915,1.0
2014,ON,80242.0,0.1116,1.0
2014,ON,150000.0,0.1216,0.0
2014,ON,220000.0,0.1316,0.0
2015,ON,0.0,0.0505,1.0
2015,ON,40922.0,0.0915,1.0
2015,ON,81847.0,0.1116,1.0
2015,ON,150000.0,0.1216,0.0
2015,ON,220000.0,0.1316,0.0
2016,ON,0.0,0.0505,1.0
2016,ON,41536.0,0.0915,1.0
2016,ON,83075.0,0.1116,1.0
2016,ON,150000.0,0.1216,0.0
2016,ON,220000.0,0.1316,0.0
2017,ON,0.0,0.0505,1.0
2017,ON,42201.0,0.0915,1.0
2017,ON,84404.0,0.1116,1.0
2017,ON,150000.0,0.1216,0.0
2017,ON,220000.0,0.1316,0.0
2018,ON,0.0,0.0505,1.0
2018,ON,42960.0,0.0915,1.0
2018,ON,85923.0,0.1116,1.0
2018,ON,150000.0,0.1216,0.0
2018,ON,220000.0,0.1316,0.0
2019,ON,0.0,0.0505,1.0
2019,ON,43906.0,0.0915,1.0
2019,ON,87813.0,0.1116,1.0
2019,ON,150000.0,0.1216,0.0
2019,ON,220000.0,0.1316,0.0
2020,ON,0.0,0.0505,1.0
2020,ON,44740.0,0.0915,1.0
2020,ON,89482.0,0.1116,1.0
2020,ON,150000.0,0.1216,0.0
2020,ON,220000.0,0.1316,0.0
2021,ON,0.0,0.0505,1.0
2021,ON,45142.0,0.0915,1.0
2021,ON,90287.0,0.1116,1.0
2021,ON,150000.0,0.1216,0.0
2021,ON,220000.0,0.1316,0.0
2022,ON,0.0,0.0505,1.0
2022,ON,46226.0,0.0915,1.0
2022,ON,92454.0,0.1116,1.0
2022,ON,150000.0,0.1216,0.0
2022,ON,220000.0,0.1316,0.0
2023,ON,0.0,0.0505,1.0
2023,ON,49231.0,0.0915,1.0
2023,ON,98463.0,0.1116,1.0
2023,ON,150000.0,0.1216,0.0
2023,ON,220000.0,0.1316,0.0
2024,ON,0.0,0.0505,1.0
2024,ON,51446.0,0.0915,1.0
2024,ON,102894.0,0.1116,1.0
2024,ON,150000.0,0.1216,0.0
2024,ON,220000.0,0.1316,0.0
2025,ON,0.0,0.0505,1.0
2025,ON,52886.0,0.0915,1.0
2025,ON,105775.0,0.1116,1.0
2025,ON,150000.0,0.1216,0.0
2025,ON,220000.0,0.1316,0.0
2026,ON,0.0,0.0505,1.0
2026,ON,53891.0,0.0915,1.0
2026,ON,107785.0,0.1116,1.0
2026,ON,150000.0,0.1216,0.0
2026,ON,220000.0,0.1316,0.0
2027,ON,0.0,0.0505,0.0
2027,ON,55209.0,0.0915,1.0
2027,ON,110421.0,0.1116,1.0
2027,ON,150000.0,0.1216,0.0
2027,ON,220000.0,0.1316,0.0
2028,ON,0.0,0.0505,0.0
2028,ON,56668.0,0.0915,1.0
2028,ON,113339.0,0.1116,1.0
2028,ON,150000.0,0.1216,0.0
2028,ON,220000.0,0.1316,0.0
2029,ON,0.0,0.0505,0.0
2029,ON,58214.0,0.0915,1.0
2029,ON,116432.0,0.1116,1.0
2029,ON,150000.0,0.1216,0.0
2029,ON,220000.0,0.1316,0.0
2030,ON,0.0,0.0505,0.0
2030,ON,59825.0,0.0915,1.0
2030,ON,119653.0,0.1116,1.0
2030,ON,150000.0,0.1216,0.0
2030,ON,220000.0,0.1316,0.0
2014,PE,0.0,0.098,0.0
2014,PE,31984.0,0.138,0.0
2014,PE,63969.0,0.167,0.0
2015,PE,0.0,0.098,0.0
2015,PE,31984.0,0.138,0.0
2015,PE,63969.0,0.167,0.0
2016,PE,0.0,0.098,0.0
2016,PE,31984.0,0.138,0.0
2016,PE,63969.0,0.167,0.0
2017,PE,0.0,0.098,0.0
2017,PE,31984.0,0.138,0.0
2017,PE,63969.0,0.167,0.0
2018,PE,0.0,0.098,0.0
2018,PE,31984.0,0.138,0.0
2018,PE,63969.0,0.167,0.0
2019,PE,0.0,0.098,0.0
2019,PE,31984.0,0.138,0.0
2019,PE,63969.0,0.167,0.0
2020,PE,0.0,0.098,0.0
2020,PE,31984.0,0.138,0.0
2020,PE,63969.0,0.167,0.0
2021,PE,0.0,0.098,0.0
2021,PE,31984.0,0.138,0.0
2021,PE,63969.0,0.167,0.0
2022,PE,0.0,0.098,0.0
2022,PE,31984.0,0.138,0.0
2022,PE,63969.0,0.167,0.0
2023,PE,0.0,0.098,0.0
2023,PE,31984.0,0.138,0.0
2023,PE,63969.0,0.167,0.0
2024,PE,0.0,0.0965,0.0
2024,PE,32656.0,0.1363,0.0
2024,PE,64313.0,0.1665,0.0
2024,PE,105000.0,0.18,0.0
2024,PE,140000.0,0.1875,0.0
2025,PE,0.0,0.095,1.0
2025,PE,33328.0,0.1347,1.0
2025,PE,64656.0,0.166,1.0
2025,PE,105000.0,0.1762,1.0
